,queue,site,rse,cloud,tier_level,corepower,corecount,nodes,transferringlimit,datetime,running,queued,transferring,queue_occupancy,finished,failed,queue_efficiency,Avg tombstone,Difference,Free(storage),Min space,Primary diff,Quota(other),Total(storage),Unlocked,Used(dark),Used(other),Used(rucio),SARA-MATRIX_DATADISK_distance
82,TRIUMF,TRIUMF-LCG2,TRIUMF-LCG2_DATADISK,CA,1,19.309,8.0,0,5000,09-28-2021,6310,1520,788,4.12,11957.0,249.0,0.9796,16.88,16.55,316.55,300.0,1948.46,789.0,10000.0,1471.73,34.21,702.46,8946.79,3
83,TRIUMF_SIM,TRIUMF-LCG2,TRIUMF-LCG2_DATADISK,CA,1,19.309,6.0,0,2000,09-28-2021,660,1040,73,0.63,840.0,46.0,0.9481,16.88,16.55,316.55,300.0,1948.46,789.0,10000.0,1471.73,34.21,702.46,8946.79,3
84,TW-FTT,TW-FTT,TAIWAN-LCG2_DATADISK,TW,2,10.14,8.0,0,2000,09-28-2021,581,491,43,1.16,1249.0,189.0,0.8686,77.7,2309.45,2609.45,300.0,-1569.95,0.0,9007.2,2617.81,-54.44,0.0,6452.19,4
85,Taiwan-LCG2,Taiwan-LCG2,TAIWAN-LCG2_DATADISK,TW,1,12.72,8.0,0,3000,09-28-2021,1752,139,273,11.77,1673.0,22.0,0.987,77.7,2309.45,2609.45,300.0,-1569.95,0.0,9007.2,2617.81,-54.44,0.0,6452.19,4
86,Taiwan-LCG2-HPC2_Unified,Taiwan-LCG2,TAIWAN-LCG2_DATADISK,TW,1,16.27,8.0,0,3000,09-28-2021,130,228,13,0.55,692.0,19.0,0.9733,77.7,2309.45,2609.45,300.0,-1569.95,0.0,9007.2,2617.81,-54.44,0.0,6452.19,4
87,Taiwan-LCG2-HPC_Unified,Taiwan-LCG2,TAIWAN-LCG2_DATADISK,TW,1,16.27,8.0,0,3000,09-28-2021,388,334,111,1.13,679.0,97.0,0.875,77.7,2309.45,2609.45,300.0,-1569.95,0.0,9007.2,2617.81,-54.44,0.0,6452.19,4
88,UAM_MareNostrum4,UAM-LCG2,UAM-LCG2_DATADISK,ES,2,16.75,48.0,0,2000,09-28-2021,74,26,64,0.0,302.0,25.0,0.9235,42.58,45.69,154.19,108.5,174.44,0.0,1085.0,75.14,30.22,0.0,900.59,3
89,UKI-LT2-Brunel_SL7_UCORE,UKI-LT2-Brunel,UKI-LT2-BRUNEL_DATADISK,UK,3,11.95,8.0,0,3000,09-28-2021,366,78,27,4.17,334.0,40.0,0.893,4.03,8.28,11.58,3.3,-10.24,0.0,32.99,14.37,-2.51,0.0,23.92,6
90,UKI-LT2-IC-HEP_SL7_UCORE,UKI-LT2-IC-HEP,UKI-LT2-QMUL_DATADISK,UK,3,10.42,8.0,0,3000,09-28-2021,97,17,55,3.63,3550.0,111.0,0.9697,11.92,1.26,301.26,300.0,762.28,0.0,3600.0,330.95,45.51,0.0,3253.23,4
91,UKI-LT2-QMUL,UKI-LT2-QMUL,UKI-LT2-QMUL_DATADISK,UK,2,15.588,8.0,0,2000,09-28-2021,1691,1747,567,0.48,4775.0,265.0,0.9474,11.92,1.26,301.26,300.0,762.28,0.0,3600.0,330.95,45.51,0.0,3253.23,4
92,UKI-LT2-RHUL,UKI-LT2-RHUL,UKI-LT2-RHUL_DATADISK,UK,2,10.75,8.0,0,2000,09-28-2021,3956,394,74,9.79,4257.0,228.0,0.9492,41.93,4.6,87.06,82.46,-223.7,0.0,824.63,548.94,-82.44,0.0,820.02,4
93,UKI-NORTHGRID-LANCS-HEP,UKI-NORTHGRID-LANCS-HEP,UKI-NORTHGRID-LANCS-HEP_DATADISK,UK,2,15.2,8.0,0,6000,09-28-2021,5838,548,465,10.46,10106.0,79.0,0.9922,18.01,868.39,1073.1,204.71,-538.75,180.0,2199.02,301.62,-0.28,151.92,974.28,4
94,UKI-NORTHGRID-LIV-HEP,UKI-NORTHGRID-LIV-HEP,UKI-NORTHGRID-LIV-HEP_DATADISK,UK,2,10.226,8.0,0,3000,09-28-2021,1869,46,265,33.39,2031.0,18.0,0.9912,36.74,0.41,77.38,76.97,-190.92,0.0,769.66,430.2,-8.79,0.0,701.07,5
